Sun Aug 15 22:13:48 CDT 2021
updating
4 pole features not found in sample features
midway2-0106.rcc.local:UCM:1bab:5a43a700: 1176974458 us(810008 us!!!):  ucm_recv: UNKNOWN msg 0x1b34b68, ver 0
midway2-0106.rcc.local:UCM:1bad:67f29700: 1176978189 us(800424 us!!!):  ucm_recv: UNKNOWN msg 0xad9b68, ver 0
midway2-0124.rcc.local:UCM:ddc5:bc77a700: 1177064881 us(1177064881 us!!!):  ucm_recv: UNKNOWN msg 0x232c068, ver 0
midway2-0106.rcc.local:UCM:1ba1:7b0dc700: 1177236701 us(3119858 us!!!):  ucm_recv: UNKNOWN msg 0x189cd68, ver 0
midway2-0106.rcc.local:UCM:1ba8:469b7700: 1177442405 us(1676535 us!!!):  ucm_recv: UNKNOWN msg 0x111df68, ver 0
midway2-0106.rcc.local:UCM:1bac:ec687700: 1177437807 us(866516 us!!!):  ucm_recv: UNKNOWN msg 0x2006f68, ver 0
midway2-0106.rcc.local:UCM:1bae:c1f2b700: 1177441140 us(866502 us!!!):  ucm_recv: UNKNOWN msg 0x8a8068, ver 0
midway2-0124.rcc.local:UCM:ddc6:d6cc9700: 1177568181 us(1177568181 us!!!):  ucm_recv: UNKNOWN msg 0x24acc68, ver 0
midway2-0106.rcc.local:UCM:1b95:ede1c700: 1177747474 us(6280019 us!!!):  ucm_recv: UNKNOWN msg 0x2803168, ver 0
midway2-0106.rcc.local:UCM:1ba2:c2c09700: 1177746740 us(3206226 us!!!):  ucm_recv: UNKNOWN msg 0x9e5f68, ver 0
midway2-0106.rcc.local:UCM:1ba9:75755700: 1177746737 us(1585773 us!!!):  ucm_recv: UNKNOWN msg 0x114eb68, ver 0
midway2-0124.rcc.local:UCM:ddc5:bc77a700: 1177975386 us(910505 us!!!):  ucm_recv: UNKNOWN msg 0x232c168, ver 0
midway2-0106.rcc.local:UCM:1bad:67f29700: 1177954181 us(975992 us!!!):  ucm_recv: UNKNOWN msg 0xad9c68, ver 0
midway2-0124.rcc.local:UCM:ddc7:75222700: 1178081464 us(1178081464 us!!!):  ucm_recv: UNKNOWN msg 0x2724e68, ver 0
midway2-0106.rcc.local:UCM:1ba3:7947a700: 1178257529 us(3110080 us!!!):  ucm_recv: UNKNOWN msg 0x1fafb68, ver 0
midway2-0106.rcc.local:UCM:1baa:8e74a700: 1178260694 us(1690246 us!!!):  ucm_recv: UNKNOWN msg 0x1438f68, ver 0
midway2-0106.rcc.local:UCM:1bae:c1f2b700: 1178264891 us(823751 us!!!):  ucm_recv: UNKNOWN msg 0x8a8168, ver 0
midway2-0106.rcc.local:UCM:1b96:3c550700: 1178476558 us(6414144 us!!!):  ucm_recv: UNKNOWN msg 0x21d1368, ver 0
midway2-0124.rcc.local:UCM:ddc6:d6cc9700: 1178482634 us(914453 us!!!):  ucm_recv: UNKNOWN msg 0x24acd68, ver 0
midway2-0124.rcc.local:UCM:ddc8:c0546700: 1178524041 us(1178524041 us!!!):  ucm_recv: UNKNOWN msg 0xd30a68, ver 0
midway2-0106.rcc.local:UCM:1bab:5a43a700: 1178704118 us(1729660 us!!!):  ucm_recv: UNKNOWN msg 0x1b34c68, ver 0
