wrkstat,HRS1,HRS2,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,SPHRS1,SPHRS2,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,mawork,mawkbaby,MAWK16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE68,PRES68,IF68WHO,VOTE72,PRES72,IF72WHO,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,spkhomo,colhomo,libhomo,CAPPUN2,gunlaw,courts,grass,relig,denom,other,fund,attend,postlife,RELIG16,DENOM16,OTH16,FUND16,sprel,spden,spother,spfund,SPREL16,SPDEN16,SPOTH16,SPFUND16,racmar,racdin,racpush,racopen,raclive,racclos,racdis,racinteg,rachome,happy,hapmar,health,life,helpful,fair,trust,satcity,sathobby,satfam,satfrnd,sathealt,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,manners,success,honest,clean,judgment,control,role,amicable,obeys,responsi,consider,interest,studious,aged,ANOMIA1,ANOMIA2,ANOMIA3,ANOMIA4,ANOMIA5,ANOMIA6,ANOMIA7,ANOMIA8,ANOMIA9,satjob,richwork,jobinc,jobsec,jobhour,jobpromo,jobmeans,class,classy,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,unemp,govaid,union,getahead,abdefect,abnomore,abhlth,abpoor,abrape,absingle,aborct,xmarsex,homosex,porninf,pornmorl,pornrape,pornout,pornlaw,xmovie,strike,civright,antiwar,prowar,school,hit,hitage,hitnum,gun,gunage,gunnum,hitok,hitmarch,hitdrunk,hitchild,hitbeatr,hitrobbr,polhitok,polabuse,polmurdr,polescap,polattak,fear,burglr,robbry,owngun,pistol,shotgun,rifle,ticket,arrest,phone,coop,comprend,form,povline,incdef,realinc,coninc,ethnic,ethnum,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,uswar,usintl,usun,commun,cohort,marcohrt,sampcode,wtssall
keeping house,e,e,yes,d,b,someone else,c,not found,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, no code assigned","not found, not assigned",married,c,no,retired,e,e,yes,c,b,someone else,b,d,,"not found, no code assigned","not found, not assigned",e,e,uncodeable,"not found, no code assigned","not found, not assigned",c,b,someone else,c,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,c,b,b,c,lt high school,lt high school,lt high school,high school,female,black,"country,nonfarm",south atlantic,,mother & father,,no,,,average,c,0,0,0,4,c,c,$7000 to 7999,south atlantic,open country,other rural,3,d,c,c,c,b,a,c,c,c,c,c,c,d,c,c,c,b,c,strong democrat,voted,humphrey,,did not vote,,mcgovern,too much,too little,too little,too little,too little,too little,too little,too little,too little,too much,too little,allowed,not allowed,remove,allowed,allowed,not remove,not allowed,not fired,remove,allowed,allowed,remove,"no,dont favor",favor,too harsh,not legal,protestant,presbyterian-dk wh,,liberal,sevrl times a yr,no,protestant,presbyterian-dk wh,,liberal,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,,,,,,,,,,not too happy,very happy,poor,routine,lookout for self,fair,can trust,quite a bit,a little,very great deal,quite a bit,a fair amount,hardly any,hardly any,only some,hardly any,a great deal,hardly any,only some,a great deal,only some,hardly any,hardly any,only some,3 most desirable,1 most desirable,not mentioned,not mentioned,not mentioned,3 most desirable,3 least desirable,not mentioned,not mentioned,3 least desirable,not mentioned,1 least desirable,not mentioned,a bad idea,agree,agree,disagree,agree,disagree,disagree,agree,disagree,agree,very satisfied,,,,,,,lower class,,satisfied,better,average,,,,,no,yes,r belongs,hard work,yes,no,no,yes,yes,yes,yes,not wrong at all,always wrong,no,no,yes,yes,illegal to all,no,no,no,no,no,no,no,,,no,,,no,,,,,,no,,,,,yes,no,no,yes,yes,no,no,no,no,phone in home,cooperative,poor,standard <x>,not poor,"1,000 to 4,999",c,c,american only,names 1,c,c,c,d,d,d,uncodeable,uncodeable,uncodeable,e,e,e,e,e,e,e,e,e,yes,active part,stay in,worst kind,c,c,194,e
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,divorced,b,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,b,someone else,c,c,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,d,c,a,e,e,e,lt high school,,,,female,black,"country,nonfarm",south atlantic,,mother & father,,yes,no,yes,average,b,0,0,0,1,e,c,lt $1000,south atlantic,open country,other rural,3,e,e,e,e,e,e,e,e,e,e,e,e,d,c,c,c,b,c,strong democrat,voted,humphrey,,voted,mcgovern,,too much,too little,too little,too much,too much,,too little,too little,about right,about right,too little,not allowed,not allowed,remove,allowed,allowed,remove,not allowed,fired,not remove,not allowed,not allowed,not remove,"no,dont favor",favor,not harsh enough,not legal,protestant,baptist-dk which,,fundamentalist,2-3x a month,yes,protestant,baptist-dk which,,fundamentalist,,,,,,,,,,,,,,,,,,not too happy,,fair,routine,lookout for self,fair,can trust,very great deal,a little,none,a little,some,hardly any,a great deal,only some,hardly any,hardly any,only some,only some,only some,a great deal,only some,hardly any,hardly any,3 most desirable,3 most desirable,1 least desirable,not mentioned,3 least desirable,1 most desirable,not mentioned,3 most desirable,not mentioned,not mentioned,3 least desirable,not mentioned,not mentioned,a bad idea,disagree,agree,agree,disagree,agree,disagree,agree,agree,agree,mod. satisfied,,,,,,,,upper class,more or less,stayed same,average,,,,,no,yes,neither belongs,hard work,no,no,no,no,no,no,no,almst always wrg,always wrong,yes,yes,yes,no,illegal to all,,no,no,no,no,no,no,,,no,,,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no phone,cooperative,poor,alternate <y>,poor,"-4,999 to -1,000",b,b,american only,names 1,e,c,e,e,c,e,,miners and quarriers,,e,e,e,c,c,d,e,e,e,no,stay out,stay in,worst kind,c,c,194,b
working parttime,d,e,,b,d,someone else,d,found,b,verbatims for r,"found, coded",found,d,d,c,"found, coded",found,widowed,c,no,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,self-employed,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,d,c,d,d,c,c,e,graduate,high school,lt high school,,female,white,farm,south atlantic,"same st,dif city",mother & father,,no,,,above average,b,0,0,0,1,e,c,$3000 to 3999,south atlantic,town gt 2500,other rural,4,c,a,c,d,c,d,e,e,e,e,e,e,c,c,b,c,c,c,strong democrat,voted,humphrey,,voted,mcgovern,,about right,too little,too little,about right,too little,too little,too little,too much,about right,about right,about right,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,,,remove,"yes,favor",favor,not harsh enough,not legal,protestant,methodist-dk which,,moderate,sevrl times a yr,yes,protestant,baptist-dk which,,fundamentalist,,,,,,,,,yes,strongly object,agree strongly,owner decides,no,,,,no,pretty happy,,good,routine,lookout for self,take advantage,can't be too careful,quite a bit,quite a bit,great deal,great deal,quite a bit,hardly any,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,3 most desirable,not mentioned,1 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,3 most desirable,1 least desirable,3 least desirable,a bad idea,agree,disagree,disagree,agree,disagree,disagree,agree,agree,agree,,,second,most impt,fifth,third,fourth,,upper middle class,more or less,stayed same,above average,,,,,yes,yes,neither belongs,luck or help,yes,yes,yes,yes,yes,yes,yes,always wrong,always wrong,yes,yes,yes,no,illegal to all,no,no,no,no,no,no,no,,,no,,,no,,,,,,yes,,no,yes,yes,yes,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,alternate <y>,not poor,"1,000 to 4,999",c,b,scotland,chooses 1 of 2+,b,c,e,b,b,e,primary school teachers,agricultural and forestry production managers,,d,d,d,c,c,c,e,e,e,yes,active part,stay in,worst kind,b,b,194,b
working fulltime,c,e,,d,b,self-employed,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,working fulltime,e,e,,d,b,someone else,c,c,verbatims for sp,"found, coded",found,b,b,bus service and urban transit,"found, coded",found,c,c,self-employed,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,b,b,a,e,c,c,lt high school,,lt high school,high school,female,white,farm,south atlantic,"same st,dif city",other,other,,,,average,c,0,0,0,2,c,c,,south atlantic,town gt 2500,other rural,4,d,c,c,c,b,a,d,c,c,c,b,b,c,c,b,c,c,c,other party,did not vote,,wallace,did not vote,,nixon,about right,too little,about right,about right,too little,too little,,too much,about right,,about right,allowed,allowed,,allowed,allowed,,allowed,not fired,not remove,allowed,,,"yes,favor",favor,about right,not legal,protestant,baptist-dk which,,fundamentalist,never,yes,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,yes,mildly object,disagree slightly,owner decides,no,,,,no,very happy,very happy,good,exciting,helpful,fair,can't be too careful,a fair amount,some,some,great deal,very great deal,,,only some,a great deal,only some,,a great deal,only some,only some,,only some,a great deal,not mentioned,3 least desirable,not mentioned,3 most desirable,1 most desirable,not mentioned,3 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,1 least desirable,a good idea,disagree,disagree,disagree,disagree,agree,disagree,agree,agree,agree,a little dissat,,fourth,third,fifth,second,most impt,working class,,not at all sat,better,average,no,,yes,no,no,no,neither belongs,hard work,yes,no,yes,no,no,yes,yes,always wrong,always wrong,yes,,yes,yes,illegal under 18,yes,no,no,no,no,no,no,,,no,,,no,,,,,,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,phone elsewhere,cooperative,good,standard <x>,not poor -- imputed,,e,e,,cannot name any,c,c,c,c,b,d,child care workers,agricultural and forestry production managers,"cleaners and helpers in offices, hotels and other establishments",c,c,b,c,c,c,b,b,b,yes,active part,stay in,ok for some,d,d,194,c
keeping house,e,e,no,e,e,,e,not found,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned",married,b,yes,working fulltime,c,e,,c,c,someone else,b,d,,"not found, no code assigned","not found, not assigned",e,e,uncodeable,"not found, no code assigned","not found, not assigned",b,c,someone else,c,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,b,c,c,c,c,high school,lt high school,lt high school,high school,female,white,town lt 50000,south atlantic,same city,mother & father,,,,,far below average,c,2,0,0,2,c,c,$10000 - 14999,south atlantic,town gt 2500,other rural,4,e,e,e,e,e,e,c,c,b,c,c,c,c,c,d,c,b,c,"ind,near rep",not eligible,,wallace,voted,nixon,,too much,too little,too little,too much,too little,too little,too little,too much,about right,too much,too much,allowed,allowed,not remove,allowed,not allowed,not remove,not allowed,fired,not remove,allowed,not allowed,not remove,"yes,favor",favor,not harsh enough,not legal,protestant,baptist-dk which,,fundamentalist,once a year,yes,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,yes,strongly object,agree strongly,,no,,,,no,not too happy,pretty happy,fair,routine,helpful,fair,can't be too careful,quite a bit,a fair amount,very great deal,very great deal,great deal,,,,,,,,,,,,,3 least desirable,1 least desirable,1 most desirable,not mentioned,not mentioned,not mentioned,3 least desirable,not mentioned,not mentioned,not mentioned,3 most desirable,3 most desirable,not mentioned,a bad idea,disagree,agree,disagree,disagree,disagree,disagree,agree,agree,agree,,,,,,,,working class,,not at all sat,better,above average,yes,no,yes,no,yes,yes,spouse belongs,hard work,yes,yes,yes,yes,yes,yes,yes,always wrong,always wrong,,,,,illegal under 18,yes,no,no,no,no,no,no,,,no,,,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,phone in home,"friendly,interested",good,standard <x>,not poor,"5,000 to 9,999",c,c,ireland,chooses 1 of 2+,e,c,d,e,d,d,,uncodeable,uncodeable,e,e,e,e,e,e,e,e,e,yes,stay out,stay in,worst kind,d,d,194,c
working fulltime,c,e,,c,c,someone else,b,found,c,verbatims for r,"found, coded",found,c,c,b,"found, coded",found,married,d,yes,keeping house,e,e,yes,d,c,someone else,c,c,verbatims for sp,"found, coded",found,e,d,hospitals,"found, coded",found,b,c,someone else,c,b,verbatims for pa,"found, coded",found,c,d,b,"found, coded",found,"found, iap",found,"found, iap",found,b,b,c,d,c,e,c,high school,high school,,high school,male,white,town lt 50000,south atlantic,same city,mother & father,,,,,above average,c,0,0,0,2,c,c,$8000 to 9999,south atlantic,town gt 2500,other rural,4,c,c,c,c,c,c,c,c,c,c,c,c,b,a,d,d,d,d,strong democrat,voted,humphrey,,voted,mcgovern,,too much,too much,about right,too little,about right,about right,about right,too much,about right,too much,too much,allowed,allowed,remove,allowed,allowed,not remove,not allowed,fired,remove,,allowed,remove,"yes,favor",favor,not harsh enough,not legal,catholic,,,moderate,once a year,yes,catholic,,,moderate,,,,,,,,,yes,strongly object,agree strongly,owner decides,no,,,,no,pretty happy,pretty happy,excellent,exciting,lookout for self,take advantage,can't be too careful,great deal,great deal,great deal,great deal,great deal,only some,only some,only some,only some,only some,hardly any,a great deal,hardly any,hardly any,,only some,a great deal,3 most desirable,not mentioned,3 most desirable,1 least desirable,not mentioned,not mentioned,1 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,3 least desirable,a good idea,agree,agree,disagree,agree,agree,agree,agree,agree,agree,mod. satisfied,stop working,most impt,second,third,fourth,fifth,working class,,more or less,stayed same,average,yes,yes,no,,yes,no,r belongs,hard work,yes,yes,yes,yes,yes,yes,no,always wrong,always wrong,yes,no,no,,,yes,no,no,no,no,no,yes,adult,2-3 times,no,,,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,,yes,yes,no,no,no,no,phone elsewhere,"restless,impatient",good,standard <x>,not poor,"5,000 to 9,999",c,c,,cannot name any,c,b,b,d,b,c,miners and quarriers,social welfare managers,nursing associate professionals,c,b,d,d,d,c,c,c,c,yes,active part,stay in,worst kind,c,d,194,c
working fulltime,c,e,,c,c,self-employed,b,found,c,verbatims for r,"found, coded",found,c,c,b,"found, coded",found,married,c,no,keeping house,e,e,yes,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,b,pharmacies and drug stores,"found, coded",found,c,c,self-employed,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,b,c,b,e,c,c,lt high school,,lt high school,lt high school,male,white,"country,nonfarm",south atlantic,"same st,dif city",mother & father,,,,,below average,c,0,0,0,2,c,c,$7000 to 7999,south atlantic,town gt 2500,other rural,4,c,c,b,c,d,c,c,c,c,c,b,c,c,c,b,c,d,c,independent,voted,wallace,,did not vote,,,too much,too little,too little,too much,too little,about right,,too much,about right,,about right,not allowed,not allowed,remove,allowed,allowed,remove,not allowed,fired,remove,,not allowed,remove,"yes,favor",oppose,about right,legal,protestant,methodist-dk which,,moderate,never,,none,,,liberal,protestant,methodist-dk which,,moderate,protestant,methodist-dk which,,moderate,yes,strongly object,agree strongly,owner decides,no,,,,no,pretty happy,pretty happy,good,routine,helpful,take advantage,can't be too careful,a fair amount,none,a fair amount,a fair amount,a fair amount,,only some,only some,a great deal,only some,only some,only some,hardly any,only some,,only some,a great deal,3 most desirable,not mentioned,not mentioned,1 least desirable,not mentioned,not mentioned,1 most desirable,not mentioned,3 most desirable,not mentioned,not mentioned,3 least desirable,3 least desirable,a good idea,agree,agree,disagree,agree,agree,agree,agree,agree,agree,mod. satisfied,stop working,,,,,,,working class,not at all sat,,average,no,,yes,no,yes,no,neither belongs,hard work,yes,yes,yes,,yes,yes,no,almst always wrg,always wrong,yes,no,no,no,illegal under 18,no,no,no,no,no,no,no,,,no,,,yes,no,,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,refused,"restless,impatient",fair,alternate <y>,not poor,"1,000 to 4,999",c,c,,cannot name any,d,d,c,c,c,c,carpenters and joiners,carpenters and joiners,shop sales assistants,c,c,c,c,c,c,c,c,c,yes,,stay in,worst kind,c,c,194,c
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,married,c,no,working fulltime,c,e,,c,b,someone else,b,c,verbatims for sp,"found, coded",found,c,c,coal mining,"found, coded",found,c,b,someone else,c,c,verbatims for pa,"found, coded",found,c,b,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,b,b,a,b,lt high school,lt high school,lt high school,lt high school,female,white,farm,south atlantic,same city,mother & father,,no,,,average,c,3,0,0,2,c,c,$8000 to 9999,south atlantic,open country,other rural,6,e,e,e,e,e,e,c,c,c,c,c,c,d,c,c,b,c,c,strong democrat,did not vote,,wallace,did not vote,,nixon,too much,too little,about right,about right,about right,about right,too little,too much,too little,too little,too little,allowed,allowed,remove,allowed,allowed,not remove,allowed,not fired,not remove,not allowed,not allowed,remove,"yes,favor",oppose,not harsh enough,not legal,none,,,liberal,never,no,protestant,baptist-dk which,,fundamentalist,protestant,methodist-dk which,,moderate,protestant,methodist-dk which,,moderate,yes,strongly object,agree strongly,owner decides,yes,yes,same block,stay integrated,no,not too happy,not too happy,fair,dull,helpful,take advantage,can't be too careful,some,quite a bit,none,quite a bit,a fair amount,a great deal,only some,a great deal,only some,only some,only some,a great deal,hardly any,only some,only some,only some,only some,not mentioned,3 most desirable,3 most desirable,1 most desirable,not mentioned,not mentioned,not mentioned,3 least desirable,3 least desirable,not mentioned,not mentioned,1 least desirable,not mentioned,a bad idea,agree,disagree,agree,disagree,disagree,agree,agree,agree,disagree,,,second,most impt,fourth,fifth,third,,middle class,satisfied,stayed same,average,yes,yes,no,,no,yes,spouse belongs,luck or help,no,no,no,no,yes,yes,yes,always wrong,always wrong,yes,no,no,no,illegal under 18,yes,no,no,no,no,no,yes,adult,2-3 times,yes,adult,once,yes,no,yes,yes,yes,yes,no,,,,,no,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,alternate <y>,not poor,"1,000 to 4,999",c,c,,cannot name any,e,d,c,e,d,c,,miners and quarriers,miners and quarriers,e,e,e,c,c,c,c,b,d,no,active part,stay in,"bad, not worst",c,c,194,c
keeping house,e,e,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,b,c,"found, coded",found,widowed,d,no,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,d,c,c,c,e,e,e,high school,,,,female,white,town lt 50000,south atlantic,same city,mother & father,,no,,,average,b,0,0,0,1,e,c,$3000 to 3999,south atlantic,open country,other rural,6,c,c,c,c,c,c,e,e,e,e,e,e,d,c,b,c,c,c,strong democrat,voted,humphrey,,voted,nixon,,about right,too little,too little,too much,too little,too little,too little,too much,about right,too much,too much,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,"no,dont favor",favor,not harsh enough,not legal,protestant,methodist-dk which,,moderate,every week,yes,protestant,methodist-dk which,,moderate,,,,,,,,,yes,mildly object,agree strongly,owner decides,yes,no,1-3 blks away,stay integrated,no,very happy,,fair,routine,lookout for self,fair,can't be too careful,great deal,very great deal,some,very great deal,a fair amount,a great deal,a great deal,a great deal,only some,a great deal,a great deal,a great deal,a great deal,only some,only some,only some,only some,1 most desirable,not mentioned,3 most desirable,3 most desirable,not mentioned,not mentioned,not mentioned,1 least desirable,not mentioned,3 least desirable,not mentioned,not mentioned,3 least desirable,a bad idea,disagree,agree,disagree,disagree,disagree,disagree,disagree,agree,agree,very satisfied,,fourth,third,fifth,most impt,second,upper class,,satisfied,better,average,,,,,no,yes,neither belongs,hard work,yes,no,yes,no,yes,no,no,always wrong,always wrong,yes,no,yes,no,illegal under 18,no,no,no,no,no,no,no,,,no,,,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",fair,standard <x>,not poor,"1,000 to 4,999",c,b,ireland,names 1,c,d,e,c,c,e,shop sales assistants,painters and related workers,,c,c,c,c,c,c,e,e,e,,active part,stay in,ok for some,c,c,194,b
retired,e,e,yes,c,c,someone else,b,not found,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, no code assigned","not found, not assigned",widowed,c,no,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,b,someone else,c,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,e,d,b,c,b,e,lt high school,lt high school,lt high school,,male,white,town lt 50000,south atlantic,"same st,dif city",mother & father,,no,,,average,c,0,0,0,2,c,c,$7000 to 7999,south atlantic,open country,other rural,6,d,c,b,c,c,c,e,e,e,e,e,e,d,c,c,c,b,c,not str republican,voted,nixon,,voted,nixon,,too much,too much,too little,about right,too little,too little,too little,too much,about right,too much,too much,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,"yes,favor",favor,not harsh enough,not legal,protestant,other,,,more thn once wk,yes,protestant,other,churches of god(except with christ and holiness),fundamentalist,,,,,,,,,yes,mildly object,agree strongly,owner decides,yes,no,4-8 blks away,,no,not too happy,,poor,routine,lookout for self,take advantage,can't be too careful,a little,a little,a fair amount,great deal,none,only some,a great deal,a great deal,only some,a great deal,only some,a great deal,a great deal,only some,hardly any,hardly any,only some,3 most desirable,3 most desirable,1 most desirable,not mentioned,not mentioned,3 least desirable,3 least desirable,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,1 least desirable,a bad idea,disagree,disagree,disagree,disagree,disagree,disagree,agree,agree,agree,,,most impt,third,fifth,second,fourth,working class,,satisfied,better,average,,,,,no,yes,r belongs,hard work,yes,no,yes,no,no,no,yes,always wrong,always wrong,yes,no,,no,illegal under 18,no,yes,no,no,no,no,no,,,no,,,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,phone in home,"friendly,interested",fair,standard <x>,not poor,"1,000 to 4,999",c,c,american only,names 1,d,c,e,d,d,e,uncodeable,uncodeable,,e,e,e,e,e,e,e,e,e,yes,stay out,pull out,worst kind,b,b,194,c
other,e,e,yes,c,b,someone else,b,found,d,verbatims for r,"found, coded",found,b,b,b,"found, coded",found,married,c,no,keeping house,e,e,no,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,d,b,someone else,d,c,verbatims for pa,"found, coded",found,b,b,d,"found, coded",found,"found, iap",found,"found, iap",found,c,e,c,b,c,b,c,lt high school,lt high school,lt high school,lt high school,male,white,town lt 50000,south atlantic,same city,mother & stpfather,parent died,no,,,below average,c,0,0,3,2,c,b,$8000 to 9999,south atlantic,open country,other rural,6,d,c,c,b,b,b,e,e,e,e,e,e,d,c,c,c,b,b,strong democrat,voted,humphrey,,voted,mcgovern,,too much,too little,too little,too much,too little,too little,too little,too much,about right,too much,about right,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,"yes,favor",oppose,not harsh enough,not legal,protestant,other,churches of god(except with christ and holiness),fundamentalist,lt once a year,yes,none,,,liberal,protestant,other,churches of god(except with christ and holiness),fundamentalist,protestant,methodist-dk which,,moderate,yes,strongly object,agree strongly,owner decides,yes,no,1-3 blks away,stay integrated,no,not too happy,pretty happy,fair,routine,lookout for self,take advantage,can't be too careful,quite a bit,some,very great deal,quite a bit,some,only some,a great deal,a great deal,only some,only some,only some,a great deal,a great deal,only some,only some,only some,a great deal,3 most desirable,not mentioned,1 most desirable,3 least desirable,3 least desirable,not mentioned,not mentioned,1 least desirable,3 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,a good idea,disagree,disagree,disagree,agree,disagree,agree,agree,agree,agree,,,most impt,third,fourth,second,fifth,working class,,satisfied,better,below average,,,,,no,yes,neither belongs,hard work,yes,no,yes,no,yes,no,no,always wrong,always wrong,yes,no,no,no,illegal under 18,yes,no,no,no,no,no,no,,,no,,,no,,,,,,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,phone in home,"friendly,interested",good,standard <x>,not poor,"1,000 to 4,999",c,c,american only,names 1,d,c,e,d,d,e,manufacturing labourers not elsewhere classified,"cleaners and helpers in offices, hotels and other establishments",,c,b,c,b,c,b,e,e,e,no,active part,stay in,ok for some,c,c,194,c
