wrkstat,HRS1,HRS2,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,SPHRS1,SPHRS2,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,mawork,mawkbaby,MAWK16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,rincome,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE72,PRES72,IF72WHO,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,cappun,gunlaw,courts,wirtap,grass,relig,denom,other,fund,attend,reliten,postlife,RELIG16,DENOM16,OTH16,FUND16,sprel,spden,spother,spfund,SPREL16,SPDEN16,SPOTH16,SPFUND16,prayer,racmar,racpush,racopen,raclive,racclos,racdis,racinteg,racfew,rachaf,racmost,busing,racpres,happy,hapmar,health,helpful,fair,trust,satcity,sathobby,satfam,satfrnd,sathealt,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,manners,success,honest,clean,judgment,control,role,amicable,obeys,responsi,consider,interest,studious,socrel,socommun,socfrend,socbar,aged,satjob,class,satfin,finalter,finrela,unemp,govaid,union,fehome,fework,fepres,fepol,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,pill,teenpill,sexeduc,divlaw,premarsx,porninf,pornmorl,pornrape,pornout,pornlaw,xmovie,hit,hitage,hitnum,gun,gunage,gunnum,hitok,hitmarch,hitdrunk,hitchild,hitbeatr,hitrobbr,polhitok,polabuse,polmurdr,polescap,polattak,news,tvhours,phone,coop,comprend,helppoor,helpnot,helpsick,helpblk,memfrat,memserv,memvet,mempolit,memunion,memsport,memyouth,memschl,memhobby,memgreek,memnat,memfarm,memlit,memprof,memchurh,memother,memnum,povline,incdef,realinc,realrinc,coninc,conrinc,ethnic,ethnum,vetyears,vetkind,GENDER1,OLD1,MAR1,WHERE1,RELATE2,GENDER2,OLD2,MAR2,RELATE3,GENDER3,OLD3,MAR3,WHERE3,RELATE4,GENDER4,OLD4,MAR4,RELATE5,GENDER5,OLD5,MAR5,RELATE6,GENDER6,OLD6,MAR6,RELATE7,GENDER7,OLD7,MAR7,RELATE8,GENDER8,OLD8,MAR8,RELATE9,GENDER9,OLD9,RELATE10,OLD10,RELATE11,GENDER11,OLD11,MAR11,RELATE12,GENDER12,OLD12,MAR12,RELATE13,GENDER13,OLD13,RELATE14,GENDER14,OLD14,hhrace,respnum,hhtype,HHTYPE1,famgen,rplace,rvisitor,visitors,dateintv,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,uswar,usintl,usun,russia,japan,england,canada,brazil,china,israel,egypt,cohort,marcohrt,sampcode,sample,wtssall,vstrat,vpsu
keeping house,e,e,yes,c,c,someone else,b,found,d,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,yes,working fulltime,c,e,,b,c,someone else,d,b,verbatims for sp,"found, coded",found,c,d,national security and international affairs,"found, coded",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,e,c,c,lt high school,,lt high school,high school,female,white,"country,nonfarm",new england,different state,mother & father,,yes,no,yes,average,5,0,0,2,3,c,c,$15000 - 19999,,south atlantic,"suburb, lrg city","suburb, 12 lrgst",15,d,c,c,b,b,c,b,c,c,d,d,d,d,c,c,c,c,c,not str democrat,voted,nixon,,moderate,about right,too much,about right,too much,too much,about right,too little,about right,too little,too much,,oppose,favor,not harsh enough,disapprove,not legal,protestant,episcopal,,liberal,2-3x a month,not very strong,yes,protestant,episcopal,,liberal,catholic,,,moderate,catholic,,,moderate,disapprove,yes,agree strongly,owner decides,yes,no,1-3 blks away,stay integrated,no,no,no,oppose,yes,pretty happy,very happy,excellent,helpful,fair,can trust,very great deal,great deal,very great deal,very great deal,very great deal,only some,hardly any,only some,hardly any,only some,a great deal,hardly any,a great deal,only some,hardly any,a great deal,a great deal,a great deal,not mentioned,3 least desirable,3 most desirable,not mentioned,not mentioned,not mentioned,3 least desirable,3 most desirable,not mentioned,1 most desirable,not mentioned,not mentioned,1 least desirable,sev times a mnth,sev times a week,sev times a year,sev times a mnth,a bad idea,very satisfied,working class,more or less,worse,below average,no,yes,neither belongs,disagree,disapprove,yes,disagree,yes,no,yes,yes,yes,no,c,no,e,e,available,available,favor,more difficult,sometimes wrong,,yes,yes,no,illegal to all,no,no,,,no,,,no,,,,,,yes,no,no,yes,yes,everyday,d,phone in home,"friendly,interested",good,b,e,c,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"10,000 to 20,000",c,e,c,e,england & wales,names 1,none,,male,c,married,,spouse,female,c,married,child,male,c,never married,,child,female,c,never married,child,male,c,never married,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,,,"3adlts,2mar,sp,rel,1+kids",married couple w children,"2 gens, children",,r. is household member,no visitors,c,d,c,b,c,c,b,jewellery and precious-metal workers,welders and flamecutters,"mathematicians, actuaries and statisticians",c,c,c,c,b,c,d,d,e,yes,stay out,stay in,c,c,c,c,c,c,b,c,c,c,140,1970 bq,d,7020,2
keeping house,e,e,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,working fulltime,c,e,,c,c,someone else,c,c,verbatims for sp,"found, coded",found,d,d,air transportation,"found, coded",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,b,d,c,c,c,c,c,high school,lt high school,lt high school,high school,female,white,farm,south atlantic,different state,mother & father,,,,,average,7,0,1,3,3,c,c,$15000 - 19999,,south atlantic,"suburb, lrg city","suburb, 12 lrgst",15,c,c,c,c,c,c,c,c,b,c,c,c,c,c,b,c,c,c,independent,voted,nixon,,slghtly conservative,about right,too little,too little,too little,about right,about right,too much,about right,too much,too much,about right,oppose,favor,not harsh enough,approve,not legal,protestant,baptist-dk which,,fundamentalist,every week,strong,yes,protestant,methodist-dk which,,moderate,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,disapprove,no,agree strongly,owner decides,yes,yes,1-3 blks away,stay integrated,no,no,,oppose,,pretty happy,very happy,fair,helpful,take advantage,can trust,a little,a fair amount,quite a bit,some,some,a great deal,only some,only some,only some,only some,only some,only some,only some,hardly any,only some,a great deal,only some,only some,not mentioned,not mentioned,1 most desirable,1 least desirable,not mentioned,3 most desirable,3 least desirable,not mentioned,not mentioned,3 most desirable,not mentioned,not mentioned,not mentioned,sev times a week,sev times a year,sev times a year,never,a bad idea,very satisfied,middle class,not at all sat,worse,average,no,no,spouse belongs,,approve,no,agree,yes,no,yes,no,,no,e,no,e,e,not available,available,,stay same,sometimes wrong,no,yes,,,illegal to all,no,no,,,no,,,yes,no,no,no,yes,no,yes,no,no,yes,yes,once a week,c,phone in home,"friendly,interested",good,c,c,e,c,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,c,not poor,"5,000 to 9,999",c,e,c,e,ireland,names 1,none,,male,c,married,,spouse,female,c,married,child,male,c,never married,,child,male,c,never married,child,male,c,never married,child,male,c,never married,child,female,c,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,,,"3adlts,2mar,sp,rel,1+kids",married couple w children,"2 gens, children",,r. is household member,no visitors,c,c,c,d,c,c,c,bank tellers and related clerks,plumbers and pipe fitters,aircraft engine mechanics and repairers,c,c,b,c,c,c,c,c,c,yes,active part,stay in,c,c,c,c,c,c,c,c,c,c,140,1970 bq,d,7020,2
working fulltime,c,e,,d,e,someone else,d,found,c,verbatims for r,"found, coded",found,c,c,d,"found, coded",found,married,c,no,temp not working,e,b,,c,c,someone else,d,c,verbatims for sp,"found, coded",found,c,c,"accounting, tax preparation, bookkeeping, and payroll services","found, coded",found,d,c,self-employed,b,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,e,c,c,c,e,e,c,high school,,,high school,male,white,farm,south atlantic,different state,mother & father,,yes,yes,yes,average,2,0,0,0,2,c,c,$15000 - 19999,$10000 - 14999,south atlantic,"suburb, lrg city","suburb, 12 lrgst",15,e,e,e,e,e,e,c,c,c,c,c,c,c,c,c,c,c,c,not str democrat,voted,nixon,,moderate,too little,too little,about right,,too little,,too little,about right,about right,too much,too much,favor,favor,not harsh enough,disapprove,not legal,protestant,no denomination,,moderate,once a year,,no,protestant,episcopal,,liberal,protestant,episcopal,,liberal,protestant,episcopal,,liberal,approve,yes,agree strongly,owner decides,yes,,4-8 blks away,stay integrated,no,no,no,oppose,yes,not too happy,pretty happy,fair,lookout for self,,can't be too careful,great deal,great deal,very great deal,great deal,great deal,only some,only some,,only some,only some,only some,hardly any,a great deal,a great deal,only some,a great deal,a great deal,a great deal,3 most desirable,not mentioned,1 most desirable,not mentioned,not mentioned,not mentioned,1 least desirable,not mentioned,not mentioned,not mentioned,not mentioned,3 most desirable,not mentioned,sev times a mnth,sev times a mnth,once a month,sev times a year,a bad idea,very satisfied,working class,more or less,worse,average,no,no,neither belongs,agree,approve,yes,agree,yes,no,yes,yes,yes,yes,c,inappropriate,e,e,available,available,favor,more difficult,sometimes wrong,no,no,no,,illegal under 18,no,no,,,no,,,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,everyday,c,refused,cooperative,good,c,b,e,c,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"10,000 to 20,000",c,c,c,c,england & wales,chooses 1 of 2+,more than 4 yrs,air force,male,c,married,,spouse,female,c,married,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,,,"2adlts,mar,0kids","married couple, no children",1 gen,,r. is household member,no visitors,c,e,c,c,c,b,c,air conditioning and refrigeration mechanics,agricultural and forestry production managers,accounting and bookkeeping clerks,c,c,c,c,c,c,c,c,c,no,active part,stay in,d,c,d,c,c,d,d,d,c,c,140,1970 bq,c,7020,2
working fulltime,c,e,,d,e,someone else,d,found,e,verbatims for r,"found, no answer",found,e,e,d,"found, coded",found,married,d,no,keeping house,e,e,no,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,b,c,c,c,e,e,c,high school,,,high school,male,white,town lt 50000,w. nor. central,different state,mother,parent died,yes,yes,yes,below average,6,0,0,2,4,c,c,$20000 - 24999,$15000 - 19999,south atlantic,"suburb, lrg city","suburb, 12 lrgst",15,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,"ind,near dem",voted,mcgovern,,moderate,too much,too little,too little,too little,too little,too little,too little,too little,too much,too much,about right,favor,favor,not harsh enough,disapprove,not legal,catholic,,,moderate,more thn once wk,strong,yes,catholic,,,moderate,catholic,,,moderate,catholic,,,moderate,disapprove,no,,cant discriminate,yes,yes,same block,stay integrated,no,no,no,oppose,yes,pretty happy,pretty happy,excellent,lookout for self,take advantage,can't be too careful,very great deal,some,very great deal,very great deal,very great deal,a great deal,hardly any,only some,only some,a great deal,only some,a great deal,only some,hardly any,a great deal,only some,only some,only some,not mentioned,not mentioned,3 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,1 most desirable,3 most desirable,not mentioned,not mentioned,not mentioned,once a month,sev times a week,sev times a week,never,a bad idea,very satisfied,middle class,not at all sat,worse,below average,no,no,neither belongs,disagree,disapprove,yes,disagree,,,,,,,e,,e,e,,,favor,,always wrong,no,yes,,no,illegal to all,no,no,,,no,,,yes,no,no,no,yes,yes,yes,no,no,yes,yes,everyday,b,phone in home,"restless,impatient",good,b,b,c,b,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,c,not poor,"10,000 to 20,000",c,d,d,d,yugoslavia,names 1,2 to 4  years,army,male,c,married,,spouse,female,c,married,child,male,c,never married,,child,female,c,never married,child,male,c,never married,child,male,c,never married,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,,,"4+adlts,2mar,1+kids",married couple w children,"2 gens, children",,r. is household member,no visitors,c,e,e,e,e,e,e,,,,e,e,e,e,e,e,e,e,e,no,active part,stay in,d,c,a,a,c,c,a,b,c,c,140,1970 bq,e,7020,2
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,married,c,no,working fulltime,c,e,,c,c,someone else,c,c,verbatims for sp,"found, coded",found,b,b,animal slaughtering and processing,"found, coded",found,d,c,self-employed,b,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,b,c,c,c,lt high school,lt high school,lt high school,high school,female,white,"country,nonfarm",w. nor. central,different state,mother & father,,no,,,below average,4,1,1,0,2,c,c,$10000 - 14999,,w. nor. central,town gt 2500,other rural,5,e,e,e,e,e,e,c,c,c,b,c,c,c,c,c,c,c,c,not str republican,voted,nixon,,conservative,too much,,about right,too little,too little,too little,too much,,,too much,too much,favor,favor,not harsh enough,disapprove,not legal,protestant,other,christian reform,fundamentalist,more thn once wk,strong,yes,protestant,other,christian reform,fundamentalist,protestant,other,christian reform,fundamentalist,protestant,other,christian reform,fundamentalist,disapprove,yes,disagree slightly,,no,,,,no,,"yes, object",oppose,,pretty happy,very happy,excellent,depends,depends,can trust,a fair amount,a fair amount,very great deal,quite a bit,great deal,,,a great deal,hardly any,,hardly any,,only some,hardly any,only some,,,,3 least desirable,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,1 most desirable,3 most desirable,3 most desirable,1 least desirable,3 least desirable,sev times a week,once a month,sev times a year,never,a bad idea,very satisfied,working class,satisfied,stayed same,average,no,no,neither belongs,agree,disapprove,,agree,no,no,yes,no,,no,c,no,e,e,not available,not available,oppose,more difficult,always wrong,yes,yes,no,no,illegal to all,no,no,,,no,,,yes,no,no,yes,yes,yes,yes,no,no,,yes,everyday,c,phone in home,cooperative,fair,c,c,c,c,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,d,not poor,"5,000 to 9,999",c,e,c,e,netherlands,names 1,none,,male,c,married,,spouse,female,c,married,child,female,c,,,child,female,c,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,,,"2adlts,mar,1+kids",married couple w children,"2 gens, children",,r. is household member,no visitors,c,e,c,c,e,b,c,,agricultural and forestry production managers,"butchers, fishmongers and related food preparers",e,e,e,c,c,c,b,b,b,yes,active part,,b,e,e,c,e,c,c,c,c,c,192,1970 bq,c,7046,2
working fulltime,c,e,,b,d,someone else,c,found,b,verbatims for r,"found, coded",found,d,d,c,"found, coded",found,married,c,no,working fulltime,c,e,,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,c,miscellaneous general merchandise stores,"found, coded",found,d,c,self-employed,b,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,d,c,c,c,c,c,high school,high school,high school,high school,female,white,farm,w. nor. central,"same st,dif city",mother & father,,no,,,average,5,0,0,0,5,c,e,$10000 - 14999,$7000 to 7999,w. nor. central,town gt 2500,other rural,5,c,c,c,c,d,d,b,b,c,d,d,d,c,c,c,c,c,c,"ind,near rep",voted,nixon,,moderate,about right,too little,too little,too little,about right,too little,about right,about right,about right,too much,too much,favor,oppose,not harsh enough,approve,not legal,protestant,lutheran-dk which,,moderate,nrly every week,strong,yes,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,disapprove,no,agree slightly,owner decides,no,,,,no,no,no,oppose,yes,very happy,very happy,excellent,helpful,fair,can trust,great deal,great deal,very great deal,great deal,very great deal,only some,only some,only some,only some,only some,only some,hardly any,a great deal,only some,only some,only some,only some,only some,3 least desirable,3 most desirable,1 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,not mentioned,3 most desirable,not mentioned,not mentioned,1 least desirable,sev times a week,sev times a year,sev times a year,never,a good idea,very satisfied,working class,more or less,stayed same,average,no,no,neither belongs,disagree,approve,yes,agree,yes,yes,yes,yes,yes,yes,c,no,e,e,available,available,favor,more difficult,always wrong,yes,no,no,no,illegal to all,no,no,,,no,,,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,everyday,c,phone in home,"friendly,interested",good,c,c,c,c,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,c,not poor,"5,000 to 9,999",c,c,c,c,norway,chooses 1 of 2+,none,,male,c,married,,spouse,female,c,married,child,male,c,never married,,child,female,c,never married,child,female,c,never married,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,,,"4+adlts,2mar,0kids","married couple, no children","2 gens, children",,r. is household member,no visitors,c,b,c,c,b,b,b,health services managers,agricultural and forestry production managers,shop supervisors,d,d,d,c,c,c,c,c,c,yes,active part,stay in,c,c,c,c,e,e,b,c,c,c,192,1970 bq,e,7046,2
working fulltime,c,e,,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,working parttime,a,e,,c,b,someone else,c,c,verbatims for sp,"found, coded",found,c,c,advertising and related services,"found, coded",found,d,c,self-employed,b,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,c,c,c,high school,lt high school,lt high school,high school,male,white,"country,nonfarm",w. nor. central,same city,mother & father,,no,,,average,5,1,2,0,2,c,c,$7000 to 7999,$6000 to 6999,w. nor. central,town gt 2500,other rural,5,b,c,c,c,d,c,c,c,c,c,b,b,c,c,c,c,c,c,"ind,near dem",voted,other,,extrmly conservative,too much,too much,about right,about right,,about right,too little,too much,about right,too much,too much,favor,oppose,not harsh enough,approve,legal,protestant,lutheran-dk which,,moderate,2-3x a month,strong,yes,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,protestant,methodist-dk which,,moderate,,no,agree strongly,owner decides,no,,,,no,no,no,oppose,yes,pretty happy,pretty happy,excellent,helpful,take advantage,can't be too careful,a fair amount,great deal,very great deal,some,very great deal,only some,a great deal,a great deal,only some,hardly any,only some,only some,a great deal,hardly any,a great deal,hardly any,hardly any,only some,not mentioned,not mentioned,1 most desirable,not mentioned,3 most desirable,3 least desirable,1 least desirable,not mentioned,not mentioned,3 most desirable,not mentioned,3 least desirable,not mentioned,sev times a week,never,once a month,sev times a mnth,depends,mod. satisfied,working class,more or less,better,below average,no,yes,neither belongs,agree,disapprove,yes,,yes,no,yes,yes,yes,no,c,no,e,e,available,available,favor,stay same,not wrong at all,no,yes,no,no,illegal under 18,no,yes,child,2-3 times,no,,,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,less than once wk,c,phone in home,"friendly,interested",good,c,d,c,e,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,c,not poor,"1,000 to 4,999",c,c,c,c,germany,names 1,none,,male,c,married,,spouse,female,c,married,child,female,c,,,child,female,c,,child,male,c,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,,,"2adlts,mar,1+kids",married couple w children,"2 gens, children",,r. is household member,no visitors,c,c,c,c,b,b,c,shop supervisors,agricultural and forestry production managers,personal services workers not elsewhere classified,c,c,c,c,c,c,c,c,b,no,active part,stay in,c,c,c,c,c,b,c,c,c,c,192,1970 bq,c,7046,2
working fulltime,c,e,,d,c,someone else,d,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,working fulltime,c,e,,d,b,someone else,d,c,verbatims for sp,"found, coded",found,c,c,elementary and secondary schools,"found, coded",found,d,c,self-employed,b,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,e,d,c,b,c,c,b,lt high school,lt high school,lt high school,lt high school,female,white,"country,nonfarm",w. nor. central,different state,mother & father,,no,,,average,4,0,0,1,3,c,e,$10000 - 14999,$1000 to 2999,w. nor. central,town gt 2500,other rural,5,c,c,b,c,c,c,c,c,c,c,b,b,c,c,c,c,c,c,independent,,,,conservative,too much,about right,too little,too little,too little,about right,about right,about right,about right,too much,,,favor,not harsh enough,disapprove,legal,protestant,presbyterian-dk wh,,liberal,every week,strong,yes,protestant,presbyterian-dk wh,,liberal,protestant,presbyterian-dk wh,,liberal,protestant,other,christian reform,fundamentalist,approve,no,agree slightly,owner decides,no,,,,no,"yes, object",,oppose,yes,very happy,very happy,excellent,helpful,fair,can trust,great deal,some,great deal,great deal,great deal,only some,,only some,only some,only some,only some,only some,hardly any,hardly any,,only some,,only some,not mentioned,3 least desirable,1 most desirable,3 most desirable,not mentioned,not mentioned,3 least desirable,not mentioned,not mentioned,not mentioned,3 most desirable,1 least desirable,not mentioned,sev times a mnth,once a month,sev times a week,never,a bad idea,very satisfied,working class,more or less,better,average,no,no,neither belongs,agree,disapprove,no,agree,yes,,yes,yes,yes,yes,c,no,e,e,available,available,favor,more difficult,sometimes wrong,yes,yes,yes,yes,legal,no,no,,,no,,,no,,,,,,no,,,,,everyday,c,phone in home,cooperative,fair,b,b,b,b,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,c,not poor,"5,000 to 9,999",c,c,c,c,netherlands,chooses 1 of 2+,none,,male,c,married,,spouse,female,c,married,child,female,c,never married,,child,female,c,never married,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,,,"3adlts,2mar,sp,rel,1+kids",married couple w children,"2 gens, children",,r. is household member,no visitors,c,c,c,c,c,b,d,cooks,agricultural and forestry production managers,"cleaning and housekeeping supervisors in offices, hotels and other establishments",b,b,b,c,c,c,c,c,c,yes,active part,stay in,d,b,a,c,c,d,d,c,c,c,192,1970 bq,d,7046,2
working fulltime,c,e,,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,b,b,c,"found, coded",found,married,c,no,working fulltime,c,e,,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,c,insurance carriers and related activities,"found, coded",found,d,b,someone else,b,c,verbatims for pa,"found, coded",found,b,b,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,c,c,c,high school,lt high school,lt high school,high school,male,white,"country,nonfarm",w. nor. central,same city,mother & father,,yes,no,no,average,4,0,0,1,3,c,e,$15000 - 19999,$15000 - 19999,w. nor. central,town gt 2500,other rural,5,c,c,c,b,c,c,c,c,c,c,c,c,d,c,c,b,b,a,not str democrat,voted,mcgovern,,slightly liberal,about right,about right,too little,too little,too little,about right,too little,too much,about right,too much,about right,oppose,oppose,not harsh enough,disapprove,not legal,protestant,methodist-dk which,,moderate,every week,strong,yes,protestant,methodist-dk which,,moderate,protestant,methodist-dk which,,moderate,protestant,other,christian & missionary alliance,fundamentalist,disapprove,no,agree strongly,owner decides,no,,,,no,"yes, object",,oppose,yes,very happy,very happy,good,helpful,fair,can trust,quite a bit,quite a bit,very great deal,great deal,great deal,a great deal,only some,only some,only some,a great deal,hardly any,only some,only some,only some,a great deal,only some,only some,a great deal,3 most desirable,3 least desirable,1 most desirable,3 least desirable,not mentioned,not mentioned,3 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,1 least desirable,not mentioned,once a month,once a month,sev times a week,never,a bad idea,mod. satisfied,working class,satisfied,better,average,no,no,neither belongs,disagree,approve,yes,disagree,yes,no,yes,no,yes,yes,c,no,e,e,available,available,favor,more difficult,always wrong,yes,yes,no,no,illegal under 18,no,no,,,no,,,yes,no,no,no,yes,yes,yes,no,no,yes,yes,everyday,c,phone in home,"friendly,interested",good,c,c,c,c,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,d,not poor,"10,000 to 20,000",c,d,c,d,germany,names 1,none,,male,c,married,,spouse,female,c,married,child,female,c,never married,traveling,child,female,c,never married,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,,,"3adlts,2mar,sp,rel,1+kids",married couple w children,"2 gens, children",,r. is household member,no visitors,c,c,c,c,c,d,c,"butchers, fishmongers and related food preparers",crop farm labourers,"statistical, finance and insurance clerks",b,b,c,b,b,b,c,c,c,yes,active part,stay in,c,c,d,c,c,c,d,c,c,c,192,1970 bq,d,7046,2
keeping house,e,e,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,b,b,c,"found, coded",found,married,c,no,working fulltime,c,e,,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,b,hardware stores,"found, coded",found,d,b,someone else,d,c,verbatims for pa,"found, coded",found,c,c,d,"found, coded",found,"found, iap",found,"found, iap",found,d,c,c,c,b,b,c,high school,lt high school,lt high school,lt high school,female,white,farm,south atlantic,same city,mother & father,,no,,,average,4,0,0,1,3,c,c,$7000 to 7999,,south atlantic,open country,other rural,2,c,c,c,c,b,c,c,c,b,c,c,c,d,c,d,b,b,c,not str democrat,voted,mcgovern,,moderate,about right,too little,too little,,too little,,too little,about right,about right,about right,about right,oppose,oppose,not harsh enough,disapprove,not legal,protestant,baptist-dk which,,fundamentalist,more thn once wk,strong,yes,protestant,baptist-dk which,,fundamentalist,protestant,,,,protestant,baptist-dk which,,fundamentalist,disapprove,yes,agree slightly,owner decides,no,,,,no,,,oppose,yes,very happy,very happy,fair,lookout for self,fair,,very great deal,very great deal,very great deal,very great deal,very great deal,only some,hardly any,only some,only some,only some,only some,hardly any,only some,hardly any,only some,a great deal,hardly any,a great deal,not mentioned,not mentioned,3 most desirable,3 least desirable,3 most desirable,not mentioned,3 least desirable,not mentioned,1 most desirable,not mentioned,not mentioned,1 least desirable,not mentioned,sev times a week,sev times a week,never,never,a bad idea,very satisfied,working class,more or less,better,average,yes,yes,neither belongs,agree,approve,yes,agree,yes,yes,yes,yes,yes,yes,c,no,e,e,available,available,favor,easier,sometimes wrong,,,,,illegal to all,no,no,,,no,,,no,,,,,,yes,yes,yes,yes,yes,few times a week,c,phone in home,"friendly,interested",good,c,e,c,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,c,not poor,"1,000 to 4,999",c,e,c,e,italy,names 1,none,,male,c,married,,spouse,female,c,married,child,female,c,never married,,child,female,c,never married,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,,,"3adlts,2mar,sp,rel,1+kids",married couple w children,"2 gens, children",,r. is household member,no visitors,c,c,c,d,c,c,c,cashiers and ticket clerks,prison guards,odd job persons,c,c,b,c,c,c,c,c,c,no,stay out,pull out,e,b,c,c,d,b,c,d,c,c,198,1970 bq,d,7049,2
